capability_id,capability,classification,first_sandbox_observation,approved_or_final_result,safety_boundary,source
cap-01,WSL source read,direct,success,not required,read-only repository access,capability-matrix.md
cap-02,/tmp file and temporary Git,direct,success,not required,disposable temporary directory,capability-matrix.md
cap-03,ignored evidence write,approval-required,read-only filesystem,success,only .agents/evidence.local,capability-matrix.md
cap-04,python3,direct,success,not required,system diagnostics,capability-matrix.md
cap-05,uv project workflow,approval-required,user cache inaccessible,success,user uv cache and project environment,capability-matrix.md
cap-06,Git status diff log,direct,success,not required,read-only Git,capability-matrix.md
cap-07,formal repository fetch,approval-required,network or FETCH_HEAD write blocked,success,network and Git metadata,capability-matrix.md
cap-08,disposable formal worktree add commit switch,approval-required,Git metadata read-only,success and cleaned,no push and unique temporary branch,capability-matrix.md
cap-09,gh repository Issue PR read,approval-required,proxy or network unavailable,success,authentication and network,capability-matrix.md
cap-10,temporary GitHub ref create delete,approval-required,approval required,success and cleaned,reversible unique remote ref,capability-matrix.md
cap-11,proxy-enabled GitHub access,approval-required,sandbox result unreliable,pass after approval,supported remote path,capability-matrix.md
cap-12,temporary no-proxy access,partial,some endpoints timed out,partial,not a supported workflow dependency,capability-matrix.md
cap-13,merge or protection bypass,prohibited,not tested,not allowed,maintainer manual gate,capability-matrix.md
