metric,value,classification
task,85,observed
pull_request,103,observed
skill_lines_before,685,observed-static
skill_lines_after,547,observed-static
skill_bytes_before,26686,observed-static
skill_bytes_after,22730,observed-static
legacy_command_fragments_before,4,observed-static
legacy_command_fragments_after,0,observed
fixed_evidence_runner_mentions,6,observed
fixed_validation_runner_mentions,3,observed
trusted_runner_mentions,4,observed
model_visible_evidence_runner_calls,2,observed
model_visible_validation_runner_calls,1,observed
model_visible_legacy_full_chain_calls,0,observed
runner_internal_api_operations,6,observed
runner_internal_validation_commands,10,observed
workflow_delivery_duration_ms,33820,observed
workflow_delivery_stdout_bytes,2468,observed
delivery_readiness_duration_ms,8081,observed
delivery_readiness_stdout_bytes,7843,observed
delivery_readiness_unknown_gates,1,observed-with-limitation
guardian_turns,unavailable,unavailable
approval_prompts,unavailable,unavailable
elevated_executions,unavailable,unavailable
runtime_token_reduction_claimed,false,not-claimed
task65_candidate_executed,false,observed
